Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
DIGITAL LEARNING SPECIALIST,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Digital Learning Development,,,,5,20.83,0.0,Netral,0
Account Representative Khusus/Marketing,Bpjs Ketenagakerjaan,Pemasaran,"1. Kacab Surabaya Darmo
2. Kacab Surabaya Karimunjawa
3. Kacab Magelang
4. Kacab Bandung Suci
5. Kacab Bogor Kota
6. Kacab Jakarta Rawamangun
7. Kacab Jakarta Grogol
8. Kacab Medan Kota
9. Kacab Medan Utara
10. Kacab Padang
11. Kacab Bali Denpasar
12. Kacab Bali Gianyar
13. Kacab Banjarmasin
14. Kacab Malang
15. Kacab Banten
16. Kacab Makassar
17. Kacab Depok
18. Kacab Aceh","Account Representative Khusus/Marketing bertugas
untuk meningkatkan pemahaman masyarakat terkait
program jaminan sosial ketenagakerjaan serta
mendorong kepesertaan baru khususnya dari segmen
Bukan Penerima Upah (BPU)",,,,2,8.33,0.0,Netral,1
Junior Programmer,Bpjs Ketenagakerjaan,Arsitektur dan Pengembangan TI,"Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota
Jakarta 12930","Terlibat dalam proses pengembangan sistem dan
aplikasi digital yang mendukung layanan jaminan
sosial ketenagakerjaan. Anda akan bekerja sama
dengan tim IT profesional dalam mengembangkan,
menguji, dan melakukan perbaikan terhadap aplikasi
internal maupun eksternal yang digunakan oleh
peserta dan pegawai BPJS Ketenagakerjaan.",,,,6,25.0,0.0,Netral,2
- Human Development / Penyelenggaraan Pengembangan Kompetensi,Kementerian Pekerjaan Umum,Sumber Daya Manusia,"Provinsi : Papua
Kabupaten/Kota : Kota Jayapura
Kecamatan : Jayapura Utara",Pengelolaan Human Development / Penyelenggaraan Pengembangan Kompetensi,Papua,Kota Jayapura,Jayapura Utara,2,8.33,0.0,Netral,1
IT Support,Bpjs Ketenagakerjaan,Infrastruktur dan OTI,"Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota
Jakarta 12930","Mendukung tim IT dalam pengelolaan perangkat end
user, termasuk instalasi, pemeliharaan, dan
troubleshooting perangkat kerja seperti komputer,
printer, dan jaringan lokal. Selain itu, mereka juga
akan membantu pengelolaan arsip IT, mencakup
pendataan, pengaturan, dan digitalisasi dokumen serta
aset teknologi informasi agar tersimpan dengan rapi
dan mudah diakses sesuai kebutuhan organisasi.",,,,7,29.17,0.0,Netral,2
IT Support,Bpjs Ketenagakerjaan,Learning and Development,"Learning Center BPJS Ketenagakerjaan
Jl. Dadali No.7, RT.03/RW.05, Tanah Sareal, Kec. Tanah
Sereal, Kota Bogor, Jawa Barat 16161","Membantu troubleshooting perangkat keras, perangkat
lunak, dan jaringan untuk memastikan kelancaran
operasional harian. Selain itu, mereka juga akan
mendukung penyelenggaraan webinar dengan
menjadi host atau operator penggunaan VMix/OBS,
serta mengelola konten pada platform e-learning BPJS
Ketenagakerjaan melalui sistem manajemen konten
(CMS), termasuk pembaruan materi dan pemantauan
aktivitas peserta pelatihan.",,,,7,29.17,0.0,Netral,2
KM Support,Bpjs Ketenagakerjaan,Learning and Development,"a. Learning Center BPJS Ketenagakerjaan
Jl. Dadali No.7, RT.03/RW.05, Tanah Sareal, Kec. Tanah
Sereal, Kota Bogor, Jawa Barat 16161
b. Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota
Jakarta 12930","Membantu dalam kegiatan knowledge management, termasuk pengumpulan, pengelolaan, dan
pendistribusian informasi atau dokumen penting agar
mudah diakses oleh seluruh pegawai. Selain itu,
mereka juga akan terlibat dalam pembuatan konten
pembelajaran, seperti modul, infografis, atau materi
digital lainnya yang mendukung proses belajar di
lingkungan BPJS Ketenagakerjaan.",,,,2,8.33,0.0,Netral,1
Learning Operational Support,Bpjs Ketenagakerjaan,Learning and Development,"Learning Center BPJS Ketenagakerjaan
Jl. Dadali No.7, RT.03/RW.05, Tanah Sareal, Kec. Tanah
Sereal, Kota Bogor, Jawa Barat 16161","Membantu dalam penyelenggaraan kegiatan pelatihan, mulai dari persiapan administrasi, koordinasi peserta, hingga dukungan teknis selama pelatihan berlangsung serta bertugas menyusun laporan kegiatan pelatihan secara sistematis, yang mencakup data kehadiran, evaluasi peserta, serta dokumentasi jalannya pelatihan untuk keperluan arsip dan evaluasi program.",,,,4,16.67,0.0,Netral,2
Actuarial Intern,Bpjs Ketenagakerjaan,Aktuaria,"Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930","Membantu dalam penyusunan kajian aktuaria dengan
melakukan pengolahan dan analisis data, serta
menerapkan metode dan asumsi aktuaria yang
relevan serta mencakup pemahaman terhadap data
statistik ketenagakerjaan, pemodelan risiko, dan
perhitungan proyeksi untuk mendukung penyusunan
asumsi aktuaria yang digunakan dalam evaluasi dan
pengembangan program jaminan sosial di BPJS
Ketenagakerjaan.",,,,4,16.67,0.0,Netral,2
Learning Relationship Intern,Bpjs Ketenagakerjaan,Learning and Development,"Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930","Membantu bagian kemitraan di bawah Deputi Learning
and Development dalam menjalin, mengelola, dan
mendukung kerja sama dengan mitra eksternal seperti
lembaga pelatihan, universitas, dan instansi terkait
serta mencakup koordinasi administrasi kemitraan,
pendampingan kegiatan kolaboratif, serta dukungan
dalam dokumentasi dan pelaporan aktivitas kerja
sama yang mendukung pengembangan program
pembelajaran di BPJS Ketenagakerjaan.",,,,4,16.67,0.0,Netral,2
Learning Research Assistance,Bpjs Ketenagakerjaan,Learning and Development,"Learning Center BPJS Ketenagakerjaan
Jl. Dadali No.7, RT.03/RW.05, Tanah Sareal, Kec. Tanah
Sereal, Kota Bogor, Jawa Barat 16161","Peserta magang akan berkontribusi dalam mendukung kegiatan riset dan pengembangan program pembelajaran di BPJS Ketenagakerjaan. Peran ini mencakup pengumpulan data, analisis literatur,
penyusunan laporan riset, serta membantu tim dalam
mengembangkan konten dan strategi pembelajaran
berbasis data dan kebutuhan organisasi.",,,,9,37.5,0.0,Netral,3
Evaluator Support,Bpjs Ketenagakerjaan,Learning and Development,"Kantor Pusat BPJS Ketenagakerjaan
Grha BPJamsostek
Jl. Gatot Subroto No.79, Karet Semanggi, Kecamatan
Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930","Peserta magang akan bertugas membantu
proses evaluasi program dengan membuat
tools evaluasi seperti kuesioner atau formulir
umpan balik, mengolah data hasil evaluasi
menggunakan metode statistik sederhana,
serta menyusun laporan evaluasi secara
sistematis untuk memberikan gambaran
efektivitas program dan rekomendasi
perbaikannya.",,,,4,16.67,0.0,Netral,2
Design & Video Editor,Bpjs Ketenagakerjaan,Learning and Development,"Learning Center BPJS Ketenagakerjaan
Jl. Dadali No.7, RT.03/RW.05, Tanah Sareal, Kec. Tanah
Sereal, Kota Bogor, Jawa Barat 16161","Peserta magang akan bertanggung jawab dalam
pembuatan materi pembelajaran dengan memproduksi
konten grafis dan video yang menarik dan informatif
untuk mendukung berbagai acara dan program
pembelajaran di lingkungan BPJS Ketenagakerjaan,
sehingga membantu meningkatkan kualitas
penyampaian materi kepada peserta pelatihan.",,,,8,33.33,0.0,Netral,1
Content creator,Pt Sebangku Jaya Abadi,Komunikasi dan media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Pembuat konten merencanakan, membuat, dan
mendistribusikan materi digital yang menarik untuk
audiens.",DIY,Sleman,Depok,0,0.0,0.0,Netral,0
Ilustrator,Pt Sebangku Jaya Abadi,Kreatif,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Menciptakan gambar visual untuk buku, media digital,
iklan, dan produk. Mengembangkan konsep,
memenuhi tenggat waktu, dan berkolaborasi dengan
tim.",DIY,Sleman,Depok,0,0.0,0.0,Netral,0
Event Organizer,Pt Sebangku Jaya Abadi,Komunikasi dan media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Bertanggung jawab merencanakan, mengorganisir,
dan melaksanakan acara, memastikan kelancaran dan
keberhasilan setiap detailnya.",DIY,Sleman,Depok,2,8.33,0.0,Netral,1
Marketer,Pt Sebangku Jaya Abadi,Komunikasi & Media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Melakukan kegiatan pemasaran offline & online,
termasuk digital campaign, SEO, branding, direct
selling, dan canvassing.",DIY,Sleman,Depok,2,8.33,0.05,Netral,1
HUMAN CAPITAL ADMINISTRATION,Pt Midi Utama Indonesia Tbk,Human Capital,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143","- Digitalisasi Dokumen Karyawan
- Sesuai Kebutuhan Cabang Masing-Masing",,,,7,29.17,0.0,Netral,1
Full Stack Web Developer,Pt Sebangku Jaya Abadi,Teknologi Informasi,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok",Mendukung pengembangan aplikasi web end-to-end menggunakan teknologi front-end dan back-end dalam lingkungan kerja tim agile.,DIY,Sleman,Depok,6,25.0,0.5,Positif,2
UI/UX Designer,Pt Sebangku Jaya Abadi,Teknologi Informasi,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Bertanggung jawab mendesain antarmuka dan
pengalaman pengguna yang intuitif dan menarik.",DIY,Sleman,Depok,10,41.67,0.0,Netral,1
Game artist,Pt Sebangku Jaya Abadi,Kreatif,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Seniman game membuat aset visual, karakter,
lingkungan, dan antarmuka pengguna untuk video
game, memastikan gaya visual yang kohesif.",DIY,Sleman,Depok,0,0.0,-0.2,Netral,0
Kindergarten educator,Pt Sebangku Jaya Abadi,Pendidikan,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Tugas pendidik TK adalah membimbing dan mengajar anak usia prasekolah, menciptakan lingkungan belajar yang menyenangkan dan mendukung perkembangan mereka.",DIY,Sleman,Depok,0,0.0,0.0,Netral,0
Video Editor,Pt Sebangku Jaya Abadi,Komunikasi & Media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Melakukan proses produksi video pembelajaran dan promosi, dari perencanaan hingga editing akhir, sesuai kebutuhan brand dan edukasi.",DIY,Sleman,Depok,5,20.83,0.0,Netral,1
Graphic Designer,Pt Sebangku Jaya Abadi,Komunikasi & Media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Melakukan produksi desain visual untuk branding,
promosi, termasuk elemen grafis pendukung video dan
media sosial.",DIY,Sleman,Depok,5,20.83,0.0,Netral,1
Teacher,Pt Sebangku Jaya Abadi,Komunikasi & Media,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Melakukan proses pembuatan materi pembelajaran
mulai dari perencanaan, penulisan skrip, hingga tampil
sebagai talent dalam video edukatif.",DIY,Sleman,Depok,2,8.33,0.0,Netral,1
Mobile App Developer,Pt Sebangku Jaya Abadi,Teknologi Informasi,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Mendukung pengembangan aplikasi mobile lintas
platform dari sisi front-end dan integrasi API dalam tim
pengembang yang kolaboratif.",DIY,Sleman,Depok,4,16.67,0.0,Netral,1
DevOps,Pt Sebangku Jaya Abadi,Teknologi Informasi,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","DevOps mengintegrasikan pengembangan dan
operasi untuk siklus hidup perangkat lunak lebih cepat,
otomatis, dan andal.",DIY,Sleman,Depok,6,25.0,0.0,Netral,2
Researcher,Pt Sebangku Jaya Abadi,Pendidikan,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Peneliti pendidikan merancang, melakukan, dan
menganalisis studi untuk meningkatkan praktik dan
kebijakan pendidikan.",DIY,Sleman,Depok,3,12.5,0.0,Netral,0
Project Manager,Pt Sebangku Jaya Abadi,Teknologi Informasi,"Provinsi : DIY
Kabupaten/Kota : Sleman
Kecamatan : Depok","Tanggung jawab seorang Project Manager mencakup perencanaan, pelaksanaan, dan penutupan proyek, memastikan tujuan tercapai sesuai anggaran dan waktu.",DIY,Sleman,Depok,4,16.67,0.0,Netral,1
Videographer,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab atas perencanaan,
pengambilan gambar (syuting), dan pasca-produksi
video untuk berbagai keperluan. Mereka
menggunakan keahlian teknis dan artistik untuk
menghasilkan konten visual yang menarik, informatif,
atau menghibur.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Finance & Accounting,Pt Widya Inovasi Indonesia (Widya Robotics),Business Support,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Jabatan Finance & Accounting merujuk pada berbagai
peran profesional yang bertanggung jawab atas
pengelolaan keuangan dan pencatatan akuntansi
suatu perusahaan atau organisasi.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Digital Marketing,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang berfokus pada perencanaan,
pelaksanaan, dan pengelolaan strategi pemasaran
menggunakan berbagai saluran digital dengan tujuan
untuk mempromosikan produk atau layanan,
membangun kesadaran merek, menjangkau target
audiens, dan mencapai tujuan bisnis tertentu.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,5,20.83,0.0,Netral,1
Marketing Officer,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang memegang peranan penting dalam
mempromosikan produk, layanan, atau merek suatu
perusahaan atau organisasi. bertanggung jawab untuk
merencanakan, melaksanakan, dan menganalisis
strategi pemasaran guna mencapai tujuan bisnis,
seperti meningkatkan brand awareness, menghasilkan
leads, mendorong penjualan, dan meningkatkan
keterlibatan pelanggan.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Social Media Specialist,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk mengelola
dan mengembangkan kehadiran online suatu merek,
perusahaan, atau organisasi melalui berbagai platform
media sosial. Mereka merancang, melaksanakan, dan
menganalisis strategi media sosial untuk mencapai
berbagai tujuan pemasaran dan komunikasi.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Content Creator,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk
memproduksi dan mendistribusikan konten yang
menarik, informatif, atau menghibur melalui berbagai
media dan platform.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Partnership,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang mengelola, dan mengembangkan
hubungan strategis dengan pihak eksternal untuk
mencapai tujuan organisasi. Individu dalam jabatan ini
bertanggung jawab untuk menciptakan nilai melalui
kolaborasi, sinergi, dan aliansi dengan mitra.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Content Writer,Pt Widya Inovasi Indonesia (Widya Robotics),Marketing,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk
merencanakan, meneliti, menulis, dan mengedit
konten tertulis untuk berbagai platform dan tujuan.
Mereka menciptakan materi yang menarik, informatif,
dan sesuai dengan target audiens serta tujuan bisnis
atau komunikasi yang ditetapkan.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,5,20.83,0.0,Netral,1
Business Secretary,Pt Widya Inovasi Indonesia (Widya Robotics),Sales/Business Development,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk memberikan
dukungan administratif dan operasional kepada tim
penjualan agar mereka dapat fokus pada aktivitas
penjualan inti.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
Business Representative,Pt Widya Inovasi Indonesia (Widya Robotics),Sales/Business Development,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk menjualkan
product kepada klien, pelanggan, mitra bisnis, atau
pemangku kepentingan lainnya.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,2,8.33,0.0,Netral,1
Telesales,Pt Widya Inovasi Indonesia (Widya Robotics),Sales/Business Development,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk menjual
produk atau layanan perusahaan melalui telepon",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
After Sales Administration,Pt Widya Inovasi Indonesia (Widya Robotics),Sales/Business Development,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab atas pengelolaan
administrasi dan pencatatandalam divisi after sales.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
MARKETING ANALIS DAN MEMBERSHIP,Pt Midi Utama Indonesia Tbk,Marketing,"Head Office
Jl. Jalur Sutera Barat, Kav. 9 Alam Sutera, Kota
Tangerang, Banten 15143",Member Insight & Content,,,,0,0.0,0.0,Netral,0
General Affairs,Pt Widya Inovasi Indonesia (Widya Robotics),Business Support,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab untuk memberikan
dukungan administratif dan operasional kepada tim
after sales",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,3,12.5,0.0,Netral,0
Procurement,Pt Widya Inovasi Indonesia (Widya Robotics),Business Support,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab atas proses
pengadaan barang dan/atau jasa yang dibutuhkan
oleh suatu perusahaan",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,0,0.0,0.0,Netral,0
Fullstack Engineer,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab dalam bidang
pengembangan perangkat lunak (software
development) yang memiliki kemampuan dan keahlian
untuk bekerja pada seluruh lapisan (stack) aplikasi
web atau perangkat lunak.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,4,16.67,0.0,Netral,2
Pentester,Pt Widya Inovasi Indonesia (Widya Robotics),Technology,"Provinsi : Daerah Istimewa Yogyakarta
Kabupaten/Kota : Sleman
Kecamatan : Ngaglik","Pekerjaan yang bertanggung jawab keamanan siber
yang dipekerjakan untuk secara aktif mencoba
menemukan dan mengeksploitasi kerentanan
keamanan dalam sistem komputer, jaringan, aplikasi
web, aplikasi seluler, dan infrastruktur lainnya.",Daerah Istimewa Yogyakarta,Sleman,Ngaglik,4,16.67,0.0,Netral,2
